gl,pt,es,la
sensíbel,sensível,sensible,sensibilis
risíbel,risível,risible,risibilis
inflexíbel,inflexível,inflexible,inflexibile
insensíbel,insensível,insensible,insensibilis
invisíbel,invisível,invisible,invisibilis
vendimador,vindimador,vendimiador,vindemiatore
debedor,devedor,deudor,debĭtōre
fedor,fedor,hedor,
estulto,fátuo,fatuo,stultus
fato,fátuo,fatuo,fatŭu
adiviñación,adivinhação,adivinación,ad
adscrición,adscrição,adscripción,adscriptio
circunscrición,circunscrição,circunscripción,circumscriptio
descrición,descrição,descripción,descriptio
dexeneración,degeneração,degeneración,degeneratio
ebulición,ebulição,ebullición,ebullitĭōne
esaxeración,exageração,exageración,exaggeratio
flaxelación,flagelação,flagelación,
imaxinación,imaginação,imaginación,imaginatione
inscrición,inscrição,inscripción,inscriptio
inxección,injeção,inyección,iniectio
prescrición,prescrição,prescripción,praescriptio
revogación,revogação,revocación,revocatione
terxiversación,tergiversação,tergiversación,tergiversatione
vexetación,vegetação,vegetación,vegetatio
xeración,geração,generación,generatio
xubilación,aposentadoria,jubilación,iubilatio
xurisdición,jurisdição,jurisdicción,iurisdictio
xustaposición,justaposição,yuxtaposición,iuxta
contracción,contração,contracción,contractio
contrición,contrição,contrición,contritio
convención,convenção,convención,conventio
creación,criação,creación,creatione
abrogación,,abrogación,abrogatio
absolución,absolvição,absolución,absolutio
absorción,absorção,absorción,absorptio
abstención,abstenção,abstención,abstentio
abdución,abdução,abducción,
aberración,aberração,aberración,aberratio
ablación,ablação,ablación,
ablución,ablução,ablución,ablutio
acción,ação,acción,actio
aceleración,aceleração,aceleración,acceleratio
administración,administração,administración,administratio
adoración,adoração,adoración,adoratio
adulación,adulação,adulación,adulatio
agnación,agnação,agnación,agnatio
aglutinación,aglutinação,aglutinación,
amplificación,amplificação,amplificación,amplificatio
animación,animação,animación,animatio
anotación,anotação,anotación,annotatio
antelación,antelação,antelación,antelatio
anticipación,antecipação,anticipación,anticipatio
aparición,aparição,aparecimiento,apparitio
apelación,apelação,apelación,appellatio
aproximación,aproximação,aproximación,approximatio
asociación,associação,asociación,associatio
asunción,assunção,asunción,assumptio
atrición,atrição,atrición,attritio
atribución,atribuição,atribución,attributio
audición,audição,audición,auditio
auscultación,auscultação,auscultación,auscultatio
calcinación,calcinação,calcinación,calcinatio
calefacción,aquecimento,calefacción,calefactio
capitación,capitação,capitación,capitatio
canción,canção,canción,cantio
capitulación,capitulação,capitulación,capitulatio
caseificación,caseificação,caseificación,caseus
castración,castração,castración,castratio
caución,caução,caución,cautio
cesación,cessação,cesación,cessatio
circulación,circulação,circulación,circulatio
circunlocución,circunlocução,Umschreibung,circumlocutio
circunvalación,circunvalação,circunvalación,circumvallatio
circunvolución,giro,circunvolución,volutionis
circunspección,circunspeção,circunspección,circumspectio
citación,citação,citación,citatiōne
clarificación,clarificaçao,clarificación,clarificatio
claudicación,claudicação,claudicación,claudicatio
coacción,coação,coacción,coactione
coagulación,coagulação,coagulación,coagulatio
coaptación,coaptação,coaptación,coaptatio
cognación,cognação,cognación,cognatione
coerción,coerção,coerción,coercitio
cognición,cognição,cognición,cognitio
complicación,complicação,complicación,complicatione
confirmación,confirmação,confirmación,confirmatio
conflagración,conflagração,conflagración,conflagratio
confiscación,confiscação,confiscación,confiscatio
conmiseración,comiseração,conmiseración,commiseratio
conspiración,conspiração,conspiración,conspiratio
conmemoración,comemoração,conmemoración,commemoratio
constelación,constelação,constelación,constellatio
contemplación,contemplação,contemplación,contemplatio
contaminación,contaminação,contaminación,contaminatio
debilitación,debilitação,debilitación,debilitatio
debelación,debelação,debelación,debellatĭōne
declinación,declinação,declinación,declinatione
decoración,decoração,decoración,decoratio
deflagración,deflagração,deflagración,deflagratio
deformación,deformação,deformación,deformāre
delegación,delegação,delegación,delegatio
deliberación,deliberação,deliberación,deliberatio
denominación,denominação,denominación,
deposición,deposição,deposición,depositione
destitución,destituição,destitución,destitutio
deterioración,deterioração,deterioro,deterioratio
devoción,devoção,devoción,devotio
distracción,distração,distracción,distractio
ecuación,equação,ecuación,aequatio
edición,edição,edición,editio
edificación,edificação,edificación,aedificatĭōne
educación,educação,educación,educare
elocución,elocução,elocución,eloutio
elongación,elongação,elongación,elongatione
emasculación,emasculação,emasculación,emasculatio
emoción,abalo,emoción,emotio
emulación,emulação,emulación,aemulatione
emigración,emigração,emigración,emigratio
escavación,escavação,escavación,excavatio
estrangulación,estrangulação,estrangulación,estrangulatio
estupefacción,estupefação,estupefacción,stupefactio
evaporación,evaporação,evaporación,evaporatio
evicción,evicção,evicción,evictio
evisceración,evisceração,evisceración,evisceratio
exasperación,exasperação,exasperación,exasperatio
exclamación,exclamação,exclamación,exclamatio
excreción,excreção,excreción,excretio
execración,execração,execración,execratio
exención,isenção,exención,exemptio
exhalación,exalação,exhalación,exhalatio
exoneración,exoneração,exoneración,exoneratio
exploración,exploração,exploración,exploratio
exportación,exportação,exportación,exportatio
extinción,extinção,extinción,extinctio
extenuación,extenuação,extenuación,extenuatio
fabulación,fabulação,fabulación,fabulatio
facción,facção,facción,factĭōne
fascinación,fascinação,fascinación,fascinatio
fermentación,fermentação,fermentación,fermentatio
felación,felação,felación,fellatio
formación,formação,formación,formatio
fortificación,fortificação,fortificación,fortificatĭōne
fornicación,fornicação,fornicación,fornix
fricción,fricção,fricción,frictio
fulguración,fulguração,fulguración,fulguratione
función,função,función,functio
humectación,humectação,humectación,humectatĭōne
humillación,humilhação,humillación,humiliatio
iluminación,iluminação,iluminación,iluminatĭōne
ilación,ilação,ilación,illatio
imitación,imitação,imitación,imitatio
imperfección,imperfeição,imperfección,imperfectio
impetración,impetração,impetración,impetratione
